Date/Time,Word Count,en,fr
2025.11.25-14.30.55,434,434,0
2025.11.25-16.34.43,436,436,228
2025.11.26-13.20.12,476,476,228
2025.11.26-13.29.14,476,476,229
2025.11.26-14.04.09,476,476,261
2025.11.27-09.07.00,497,497,275
2025.11.27-09.41.29,497,497,265
2025.11.27-15.26.20,481,481,281
2025.12.01-10.34.36,510,510,281
2025.12.02-10.06.06,535,535,298
2025.12.04-16.27.40,512,512,332
2025.12.04-16.36.28,512,512,341
2025.12.04-16.40.25,154,154,123
2025.12.05-09.27.05,517,517,125
2025.12.05-09.59.17,508,508,336
2025.12.05-10.18.31,509,509,335
2025.12.05-17.24.34,500,500,327
